School_name ,city ,zipcode,elementary_school,intermediate_school,middle_school,high_school,school_grade,title_i_status,total_students,african_american,african_american_percent,hispanic,hispanic_percent,native_american,native_american_percent,white,white_percent,multiple_race,multiple_race_percent,asian,asian_percent,pacific_islander,pacific_islander_percent,proficiency_pts,Grad_Rate_pts,Dropout_rate,CCRI_points,promotion_rate,No_of_students_adv_placement_course,Students_with_Chronic_Absenteeism,crime_rate,total_students_bullied,personnel_federal_expenditure,personnel_state_and_local_expenditure,non_personnel_federal_expenditure,non_personnel_state_and_local_expenditure,total_per_pupil_expenditure,awards_and_recognitions,academic_offerings,sports_facilities,music_facilities,after_school_opportunities,other_facilities,student_services,acad_focus_1,acad_focus_2,acad_focus_3,acad_focus_4,acad_focus_5
Scottsdale Online Learning,Scottsdale,85257,1,1,1,1,4,0,224,10,10.0,47,20.98,10,10.0,142,63.39,10,10.0,10,10.0,0,0.0,15.46,8.84,10.88,20.1,94.97,4.0,0.0,0.0,0.0, 15043.60, 20243.53, 4.68, 58.47, 35350.27,['No data available'],['No data available'],['No data available'],['No data available'],['No data available'],['No data available'],['No data available'],0,0,0,0,0
Sequoia Choice School Arizona Distance Learning School,Mesa,85204,1,1,1,1,3,1,3062,125,4.08,597,19.5,109,3.56,2062,67.34,130,4.25,26,0.85,13,0.42,9.71,4.43,16.76,11.4,87.85,0.0,0.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,['No data available'],['No data available'],['No data available'],['No data available'],['No data available'],['No data available'],['No data available'],0,0,0,0,0
Sequoia Secondary School,Mesa,85204,0,0,1,1,3,1,371,20,5.39,275,74.12,12,3.23,51,13.75,10,10.0,0,0.0,10,10.0,6.13,9.16,9.82,14.1,99.45,0.0,272.0,4.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,['No data available'],"['Career and Technical Education (CTE)', 'Foreign Language', 'Full-day Kindergarten', 'Online courses', 'Sequoia Charter is a very unique school because we offer a K-12 Education, two campuses one vision. Our diversity is extremely rare. Our diverse population is very special, but we also offer online classes, student can earn dual credit while attending Sequoia, we offer clothes and food our our families that are in need, and we have over 8 different electives and 5 sports.']","['Baseball', 'Basketball', 'Football', 'Soccer', 'Softball', 'Volleyball', 'Others', 'chevron_right', 'Chess Club']","['Art', 'Band', 'Ceramics/Sculpting', 'Choir', 'Dance', 'Music', 'Painting', 'Photography', 'Others', 'chevron_right', 'Digital Photography, song writing, Guitar']","['Academic', 'chevron_right', 'Tutoring', 'Athletic', 'chevron_right', 'Sports mentioned above', 'Games and Gaming', 'chevron_right', 'Chess', 'Tutoring and Mentoring', 'chevron_right', 'Academic / Athletic Tutoring for athletes']","['Dedicated Counselors', 'chevron_right', '1', 'Enhanced Security', 'First Aid Center/Health Center', 'Garden', 'Gymnasium', 'Indoor air quality control', 'Kindergarten Playground', 'Library', 'Transportation']",['No data available'],1,1,1,1,1
Shadow Mountain High School,Phoenix,85028,0,0,1,1,4,0,1108,37,3.34,364,32.85,10,10.0,624,56.32,50,4.51,17,1.53,10,10.0,21.61,10.0,2.71,14.5,96.0,323.0,307.0,50.0,1.0, 985.07, 9371.43, 137.90, 1367.53, 11861.92,"['Cognia Accredited', 'ADE Letter Grade ""A"" 11/2022']","['Advanced Placement (AP)', 'AVID (Advancement Via Individual Determination)', 'Career and Technical Education (CTE)', 'Dual enrollment', 'Foreign Language', 'Gifted Program', 'Honors (Independent of IB/AP/Dual Enrollment)', 'Online courses', 'ROTC/JROTC', 'Others', 'chevron_right', 'North Valley Arts Academy', 'chevron_right', 'North Valley Arts Academy', 'Others', 'chevron_right', 'North Valley Arts Academy', 'chevron_right', 'North Valley Arts Academy', 'Shadow Mountain High School is a comprehensive high school in the Paradise Valley Unified School District. Our motto is ""This Far and Farther!""']","['Badminton', 'Baseball', 'Basketball', 'Football', 'Golf', 'Soccer', 'Softball', 'Spirit/Cheerleading', 'Swimming', 'Tennis', 'Track and Field', 'Volleyball', 'Wrestling']","['Art', 'Band', 'Ceramics/Sculpting', 'Choir', 'Dance', 'Music', 'Orchestra', 'Painting', 'Photography', 'Theater', 'Shadow Mountain High School is home to the North Valley Arts Academy. We have an incredible arts program that includes 2d Art, 3D Art, Theater, Dance, and much more. It gives our students the ability to participate in a rigorous arts program while still enjoy the benefits of being in a comprehensive high school.']","['Academic', 'chevron_right', 'NHS, SOWS, Spanish Honor Society, Police Explorers', 'Arts', 'chevron_right', 'North Valley Arts Academy', 'Athletic', 'chevron_right', 'Standard high school athletics and Unified sports for students with special needs.', 'Career and Technical Education (CTE)', 'chevron_right', 'Early Childhood, Forensics, AFJROTC, Photography, Culinary Arts', 'Community/Civic', 'chevron_right', 'Key Club, No Place for Hate, Global Rescue Project, Link Crew', 'ROTC/JROTC', 'chevron_right', 'Air Force JROTC', 'Speech and Debate', 'chevron_right', 'Speech and Debate', 'Tutoring and Mentoring', 'chevron_right', 'Math Lab, Language Lab, AVID, NHS']","['Art Room', 'Auditorium', 'Book Store', 'Cafeteria (Onsite food service)', 'Certified Nurse (LNP/RN)', 'Dedicated Counselors', 'chevron_right', '3.5', 'Early Education Activity/Sensory Room', 'Enhanced Security', 'First Aid Center/Health Center', 'Gymnasium', 'Library', 'Music Hall', 'School Resource Officer (SRO)', 'Science Lab', 'Sports Facilities', 'chevron_right', 'Stadium, Gyms, Weights', 'Transportation']","['Dedicated School Counselor', 'chevron_right', '3', 'Dedicated School Social Worker', 'chevron_right', '1.0', 'Health Services (i.e. School-based Health Center)', 'Dedicated Registered Nurse (RN)', 'chevron_right', '1.0', 'Assistance with Material Needs', 'McKinney-Vento homeless student program', 'Food pantry', 'Partner Mental Health Agencies', 'List', 'chevron_right', 'Teen Lifeline']",1,1,1,1,1
Shadow Ridge High School,Surprise,85388,0,0,1,1,5,0,2317,112,4.83,709,30.6,10,10.0,1277,55.11,164,7.08,39,1.68,10,10.0,23.15,10.0,0.45,16.9,99.78,385.0,818.0,16.0,6.0, 467.98, 5947.78, 526.13, 1194.77, 8136.66,"['2019 A+ School of Excellence Award', '""A"" Rated School 22-23']","['Advanced Placement (AP)', 'Career and Technical Education (CTE)', 'Coding', 'Dual enrollment', 'Foreign Language', 'Gifted Program', 'Honors (Independent of IB/AP/Dual Enrollment)', 'Online courses', 'ROTC/JROTC']","['Badminton', 'Baseball', 'Basketball', 'Cross-Country', 'Football', 'Golf', 'Soccer', 'Softball', 'Spirit/Cheerleading', 'Swimming', 'Tennis', 'Track and Field', 'Volleyball', 'Wrestling', 'Others', 'chevron_right', 'Beach Volleyball', 'chevron_right', 'Unified Sports']","['Art', 'Band', 'Ceramics/Sculpting', 'Choir', 'Dance', 'Music', 'Theater', 'Others', 'chevron_right', 'Technical Theater', 'chevron_right', 'Drawing', 'chevron_right', 'Piano']","['Academic', 'chevron_right', 'National Honors Society (NHS)', 'chevron_right', 'Dance Club', 'chevron_right', 'Spanish Honors', 'Arts', 'chevron_right', 'Art Club', 'chevron_right', 'Theater Club', 'Athletic', 'chevron_right', 'Various Athletic Opportunities and Clubs', 'Business Interest', 'chevron_right', 'DECA', 'Career and Technical Education (CTE)', 'chevron_right', 'Engineering', 'chevron_right', 'HOSA', 'chevron_right', 'Skills USA', 'chevron_right', 'Ed. Rising', 'Career Focus', 'chevron_right', 'Various Career Focus Opportunities and Clubs', 'Community/Civic', 'chevron_right', 'Key Club', 'chevron_right', 'NHS', 'chevron_right', 'Student Council', 'chevron_right', 'Best Buddies', 'Games and Gaming', 'chevron_right', 'Various Games and Gaming Opportunities and Clubs', 'Speech and Debate', 'chevron_right', 'Various Speech and Debate Opportunities and Clubs', 'Tutoring and Mentoring', 'chevron_right', 'Various Tutoring and Mentoring Opportunities']","['Art Room', 'Auditorium', 'Book Store', 'Cafeteria (Onsite food service)', 'Certified Nurse (LNP/RN)', 'Dedicated Counselors', 'chevron_right', '6', 'Enhanced Security', 'First Aid Center/Health Center', 'Gymnasium', 'Library', 'School Resource Officer (SRO)', 'Science Lab', 'Sports Facilities', 'chevron_right', 'Various Sports Facilities', 'Technology Lab']","['Dedicated School Counselor', 'chevron_right', '5', 'Health Services (i.e. School-based Health Center)', 'Dedicated Registered Nurse (RN)', 'chevron_right', '1', 'Health aide only']",1,1,1,1,1
Shea Middle School,Phoenix,85028,0,1,1,0,4,0,511,33,6.46,194,37.97,10,10.0,243,47.55,29,5.67,10,10.0,10,10.0,16.5,8.84,0.0,20.1,99.81,0.0,211.0,47.0,0.0, 1259.34, 9528.95, 123.23, 1454.21, 12365.73,"['2018 Arizona Science Teachers Association Middle School Science Teacher of the Year - Angela Mitchell', '2018 Scottsdale Artist League’s Artist of the Year - Jennifer Jardine, Teacher', 'AVID Highly Certified Site', 'PBISaz Silver Award', 'Shea and Shadow Mountain Winterguard Championships']","['AVID (Advancement Via Individual Determination)', 'Foreign Language', 'Honors (Independent of IB/AP/Dual Enrollment)', 'Others', 'chevron_right', 'North Valley Arts Academy', 'chevron_right', ""Veteran's Heritage Project - Statewide organization"", 'Robust selection of elective classes - we offer a wide range of diverse elective classes to address the education of the whole child. Students can take courses in band, choir, strings, guitar, art, PE, technology, video production, Spanish and French. Double block of Language Arts - to address the informational text, literature, and writing needs of our students to ensure they have the skills necessary to succeed. Hands-On Science classrooms - Shea ensures that students receive hands-on science instruction. Shea Values - School culture centered around Self Control, Taking Responsibility, Integrity, being Nice, and Grit Opportunities to serve - Heritage Veterans Project sends students out to interview Veterans and compiles their stories in an annual book. National Junior Honor Society reaches out to our community through various service projects. Technology - 1 to 1 computing']","['Basketball', 'Cross-Country', 'Football', 'Softball', 'Track and Field', 'Volleyball', 'Wrestling', 'Festival sports program allows students of ALL skill levels to participate in organized sports.']","['Art', 'Band', 'Ceramics/Sculpting', 'Choir', 'Dance', 'Music', 'Orchestra', 'Painting', 'Theater', 'Others', 'chevron_right', 'Music Technology', 'North Valley Arts Academy - An robust arts experience for students in grades 5-12. Students gain real-world experiences in Theater, Dance, Fine Arts, and Music Technology.']","['Arts', 'chevron_right', 'Photography', 'chevron_right', 'Gardening', 'Business Interest', 'chevron_right', 'Career and Lifelinks', 'Community/Civic', 'chevron_right', 'National Jr. Honor Society', 'chevron_right', 'Student Government', 'Games and Gaming', 'chevron_right', 'Games Strategy club', 'Tutoring and Mentoring', 'chevron_right', 'Math and Reading tutoring']","['Art Room', 'Cafeteria (Onsite food service)', 'Certified Nurse (LNP/RN)', 'Dedicated Counselors', 'chevron_right', '1.5', 'First Aid Center/Health Center', 'Garden', 'Gymnasium', 'Library', 'Natural Lighting in 50% areas', 'School Resource Officer (SRO)', 'Science Lab', 'Sports Facilities', 'chevron_right', 'track', 'chevron_right', 'football field', 'chevron_right', 'state of the art tennis courts', 'chevron_right', 'softball/baseball fields', 'Technology Lab', 'Others', 'chevron_right', 'Music Technology Computer lab']","['Dedicated School Counselor', 'chevron_right', '1', 'Dedicated School Social Worker', 'chevron_right', '2', 'Mental health services', 'Mental health screenings', 'Individual counseling', 'Small group counseling', 'Health Services (i.e. School-based Health Center)', 'Dedicated Registered Nurse (RN)', 'chevron_right', '1', 'Assistance with Material Needs', 'McKinney-Vento homeless student program', 'Clothing/shoe closet', 'Designated individual to refer to community supports', 'Partner Mental Health Agencies', 'List', 'chevron_right', 'Everybody Matters']",1,1,1,1,1
Shepherd Junior High School,Mesa,85205,0,1,1,0,5,1,604,13,2.15,188,31.13,10,10.0,352,58.28,28,4.64,10,10.0,10,10.0,17.61,8.84,0.0,20.1,99.84,0.0,217.0,40.0,4.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,"['AEF A+ School of Excellence 2016, 2023', 'ADE Civic Engagement School of Excellence 2016, 2017', 'School Letter Grade A', 'ADE:Civic Engagement School of Distinction 2019, 2020']","['AVID (Advancement Via Individual Determination)', 'Career and Technical Education (CTE)', 'Coding', 'Foreign Language', 'Gifted Program', 'Award winning performaing arts program.']","['Badminton', 'Baseball', 'Basketball', 'Cross-Country', 'Football', 'Soccer', 'Softball', 'Volleyball', 'Wrestling', '2023 Baseball City Champions']","['Art', 'Band', 'Ceramics/Sculpting', 'Choir', 'Dance', 'Music', 'Orchestra', 'Painting', 'Photography', 'Theater', 'Others', 'chevron_right', 'Musical Theater']","['Academic', 'chevron_right', 'National Junior Honor Society', 'chevron_right', 'Teen Court', 'Arts', 'chevron_right', 'Anime', 'chevron_right', 'Art', 'chevron_right', 'Musical Theater', 'chevron_right', 'Drama', 'Career and Technical Education (CTE)', 'chevron_right', 'Cooking Club', 'chevron_right', 'Photography/Yearbook', 'Community/Civic', 'chevron_right', 'Teen Court', 'chevron_right', 'Service Learning', 'chevron_right', 'Student Council', 'Tutoring and Mentoring', 'chevron_right', 'We offer free tutoring before and after school', 'Others', 'chevron_right', 'WEB - Where Everybody Belongs']","['Art Room', 'Auditorium', 'Book Store', 'Cafeteria (Onsite food service)', 'Certified Nurse (LNP/RN)', 'Dedicated Counselors', 'chevron_right', '1.5', 'Enhanced Security', 'First Aid Center/Health Center', 'Gymnasium', 'Library', 'Makerspace (Creativity Lab)', 'Music Hall', 'School Resource Officer (SRO)', 'Science Lab', 'Technology Lab', 'Transportation', 'Late Transportation following school activities']","['Dedicated School Counselor', 'chevron_right', '2', 'Health Services (i.e. School-based Health Center)', 'Dedicated Registered Nurse (RN)', 'chevron_right', '0.5', 'Partner Mental Health Agencies', 'List', 'chevron_right', 'A New Leaf']",1,1,1,1,1
Sierra Linda High School,Tolleson,85353,0,0,0,1,4,1,1976,182,9.21,1650,83.5,18,0.91,71,3.59,26,1.32,17,0.86,12,0.61,9.61,10.0,4.21,14.8,97.05,1245.0,1107.0,52.0,0.0, 859.95, 7672.41, 118.01, 877.73, 9528.10,"['Beat the Odds Silver Medal', 'Over $2 million in scholarships awarded', 'Recognized by PBIS as a model school']","['Advanced Placement (AP)', 'Career and Technical Education (CTE)', 'Coding', 'Dual enrollment', 'Foreign Language', 'Gifted Program', 'Online courses']","['Baseball', 'Basketball', 'Cross-Country', 'Football', 'Golf', 'Soccer', 'Softball', 'Spirit/Cheerleading', 'Tennis', 'Track and Field', 'Volleyball', 'Wrestling', 'Others', 'chevron_right', 'Girls Wrestling']","['Art', 'Band', 'Ceramics/Sculpting', 'Choir', 'Cultural Arts', 'Dance', 'Music', 'Orchestra', 'Painting', 'Photography', 'Theater', 'Others', 'chevron_right', 'Mariachi']","['Academic', 'chevron_right', 'National Honor Society', 'chevron_right', 'Yearbook Club', 'chevron_right', 'Speech and Debate Club', 'chevron_right', 'Spanish Club', 'chevron_right', 'American Dream Academy (ASU student/parent organization)', 'chevron_right', 'Achieving a College Education (ACE)', 'Arts', 'chevron_right', 'Choir Club', 'chevron_right', 'Dance Club', 'chevron_right', 'Drama Club', 'chevron_right', 'Band Club', 'chevron_right', 'Ceramics Club', 'Career and Technical Education (CTE)', 'chevron_right', 'Future Business Leaders of America (FBLA)', 'chevron_right', 'Health Occupations Students of America (HOSA)', 'chevron_right', 'Family, Career and Community Leaders of America (FCCLA)', 'chevron_right', 'Digital Photography Club', 'Career Focus', 'chevron_right', 'Be a Leader (College and Career Exploration)', 'chevron_right', 'Jobs for Arizona Graduates (JAG) Community/Civic', 'Community/Civic', 'chevron_right', 'Student Government', 'chevron_right', 'Best Buddies (Students partnering with Special Needs Students)', 'chevron_right', 'Student Ambassadors/Peer Mediators', 'chevron_right', 'Trio Program (Federally-funded college opportunity programs designed to motivate and support first generation, low-income, students with disabilities and veterans in pursuit of a college degree)', 'Games and Gaming', 'chevron_right', 'Gaming Club', 'Speech and Debate', 'chevron_right', 'Speech and Debate Club', 'Others', 'chevron_right', 'Black Student Union', 'chevron_right', 'Gay/Straight Alliance (GSA)', 'chevron_right', 'Mecha Club']","['Art Room', 'Auditorium', 'Book Store', 'Cafeteria (Onsite food service)', 'Certified Nurse (LNP/RN)', 'Dedicated Counselors', 'chevron_right', '5', 'Early Education Activity/Sensory Room', 'Enhanced Security', 'First Aid Center/Health Center', 'Gymnasium', 'Indoor air quality control', 'Library', 'Music Hall', 'School Resource Officer (SRO)', 'Science Lab', 'Sports Facilities', 'chevron_right', 'Football/Soccer Stadium', 'chevron_right', 'Baseball/Softball Fields', 'chevron_right', 'Track', 'chevron_right', 'Tennis Courts', 'chevron_right', 'Indoor/Outdoor Basketball Courts', 'chevron_right', 'Athletic Training Room', 'chevron_right', 'Wrestling Room', 'chevron_right', 'Weight Room', 'chevron_right', 'Locker Room/Shower Facilities', 'Technology Lab', 'Transportation', 'Others', 'chevron_right', 'On-campus full-service restaurant/bistro facilities/industrial kitchen/Learning Lab']",['No data available'],0,0,0,0,0
Skyline High School,Mesa,85208,0,0,0,1,3,0,2249,99,4.4,1135,50.47,55,2.45,875,38.91,46,2.04,27,1.2,12,0.53,11.67,10.0,5.17,15.7,97.86,489.0,1273.0,39.0,4.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,['ADE Civic Engagement School of Excellence'],"['Advanced Placement (AP)', 'AVID (Advancement Via Individual Determination)', 'Career and Technical Education (CTE)', 'Coding', 'Dual enrollment', 'Foreign Language', 'Online courses', 'ROTC/JROTC', 'Award winning performance arts programs--band, choir, dance, theater, orchestra Comprehensive and innovative CTE programs in state-of-art facilities']","['Badminton', 'Baseball', 'Basketball', 'Cross-Country', 'Football', 'Golf', 'Soccer', 'Softball', 'Spirit/Cheerleading', 'Swimming', 'Tennis', 'Track and Field', 'Volleyball', 'Wrestling']","['Art', 'Band', 'Ceramics/Sculpting', 'Choir', 'Dance', 'Music', 'Orchestra', 'Painting', 'Photography', 'Theater', 'Others', 'chevron_right', 'Stained glass', 'chevron_right', 'Jewelry making', 'chevron_right', 'Jazz band']","['Academic', 'chevron_right', 'Academic Decathlon', 'chevron_right', 'AVID', 'chevron_right', 'National Honor Society', 'chevron_right', 'Robotics', 'chevron_right', 'Tutoring', 'chevron_right', 'Service Learning', 'chevron_right', 'We the People', 'chevron_right', 'Student Council', 'chevron_right', 'Spanish Club', 'chevron_right', 'Physics & Astronomy Club', 'Arts', 'chevron_right', 'Stained Glass & Mosaic Club', 'chevron_right', 'Photo Club', 'chevron_right', 'Choir Club', 'chevron_right', 'Orchestra Club', 'chevron_right', 'Dance Clubs: Island, Hip Hop, Latin', 'chevron_right', 'Theater Club', 'chevron_right', 'Stage Krew', 'chevron_right', 'Ascension Dance Company', 'Athletic', 'chevron_right', 'Open weight room', 'chevron_right', 'Hiking Club', 'Business Interest', 'chevron_right', 'Skybound--Yearbook Club', 'Career and Technical Education (CTE)', 'chevron_right', 'Auto Club', 'chevron_right', 'Coyote TV', 'chevron_right', 'Skills USA', 'chevron_right', 'Educators Rising', 'chevron_right', 'Sports Medicine', 'chevron_right', 'Engineering Club', 'Career Focus', 'chevron_right', 'Coyote Special Workforce', 'chevron_right', 'JROTC', 'Community/Civic', 'chevron_right', 'Key Club', 'chevron_right', 'Coyote Connection Leaders', 'chevron_right', 'National Honor Society', 'chevron_right', 'PaintPAK', 'chevron_right', 'PRIDE Pack', 'chevron_right', 'PAW Pals', 'chevron_right', 'Elements in Motion', 'Games and Gaming', 'chevron_right', 'Role Playing Game Club', 'chevron_right', 'Gaming Club', 'chevron_right', 'Chess Club', 'ROTC/JROTC', 'chevron_right', 'Rangers', 'Tutoring and Mentoring', 'chevron_right', 'After school tutoring in all subjects', 'chevron_right', 'Coyote Strong--High School Health & Wellness programs']","['Art Room', 'Auditorium', 'Book Store', 'Cafeteria (Onsite food service)', 'Certified Nurse (LNP/RN)', 'Dedicated Counselors', 'chevron_right', '6', 'Early Education Activity/Sensory Room', 'Enhanced Security', 'First Aid Center/Health Center', 'Garden', 'Gymnasium', 'Indoor air quality control', 'Library', 'Makerspace (Creativity Lab)', 'Music Hall', 'School Resource Officer (SRO)', 'Science Lab', 'Sports Facilities', 'chevron_right', 'Weight Room', 'chevron_right', 'All-weather track', 'chevron_right', 'Football stadium', 'chevron_right', 'Baseball & softball fields', 'chevron_right', 'Wrestling room', 'chevron_right', 'Tennis Courts', 'chevron_right', 'Dance rooms', 'Technology Lab', 'Transportation', 'Others', 'chevron_right', 'State-of-the-art automotive shop', 'chevron_right', 'State-of-the-art welding shop', 'chevron_right', 'Health assisting lab']",['No data available'],0,0,0,0,0
Skyline Prep High School,Phoenix,85042,0,0,0,1,5,1,201,82,40.8,80,39.8,10,10.0,18,8.96,10,10.0,10,10.0,0,0.0,3.28,9.38,1.87,35.0,100.0,0.0,177.0,0.0,0.0, 1961.11, 5037.58, 3935.82, 29.06, 10963.57,['2019 CAA High School Boys Basketball Division 2-Coach of the Year: Jason Fraser'],"['Foreign Language', 'Honors (Independent of IB/AP/Dual Enrollment)', 'Online courses']","['Basketball', 'Football', 'Soccer', 'Spirit/Cheerleading', 'Track and Field', 'Volleyball']","['Art', 'Dance', 'Painting']","['Arts', 'chevron_right', 'Art Club', 'Athletic', 'chevron_right', 'Volleyball, Basketball, Football, Track and Field, Soccer, and Cheerleading']","['Art Room', 'Auditorium', 'Cafeteria (Onsite food service)', 'Gymnasium', 'Indoor air quality control', 'Natural Lighting in 50% areas', 'Sports Facilities', 'chevron_right', 'Basketball Court and Football Field', 'Technology Lab', 'Transportation']",['No data available'],1,1,1,1,1
Skyview High School,Buckeye,85326,0,0,0,1,4,1,174,19,10.92,105,60.34,10,10.0,41,23.56,10,10.0,0,0.0,0,0.0,2.08,5.45,26.69,32.7,84.12,0.0,249.0,17.0,1.0, 1888.80, 4929.43, 942.42, 4340.03, 12100.68,['Accreditation and Certification: Cognia Accredited'],"['Dual enrollment', 'Online courses', 'Skyview High School is a West-MEC partner with educational and career training programs in various industries.']","['Basketball', 'Cross-Country', 'Track and Field', 'Others', 'E-Sports']","['Art', 'Theater']","['Academic', 'Athletic', 'Career Focus', 'Games and Gaming']",['No data available'],"['Dedicated School Counselor', 'chevron_right', '1', 'Dedicated School Social Worker', 'chevron_right', '1', 'Mental health services', 'Individual counseling', 'Small group counseling', 'Assistance with Material Needs', 'McKinney-Vento homeless student program', 'Others', 'chevron_right', 'Washer and Dryer']",0,0,0,0,0
Smith Junior High School,Mesa,85207,0,0,1,0,3,1,841,31,3.69,383,45.54,21,2.5,353,41.97,34,4.04,10,10.0,10,10.0,11.58,8.84,0.0,20.1,100.0,0.0,378.0,45.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,['No data available'],"['Career and Technical Education (CTE)', 'Foreign Language', 'Gifted Program', 'ROTC/JROTC']","['Badminton', 'Baseball', 'Basketball', 'Cross-Country', 'Football', 'Soccer', 'Softball', 'Spirit/Cheerleading', 'Track and Field', 'Volleyball', 'Wrestling']","['Art', 'Band', 'Ceramics/Sculpting', 'Choir', 'Music', 'Orchestra', 'Painting', 'Photography']","['Academic', 'chevron_right', 'National Academic League', 'Arts', 'chevron_right', 'Art, drama,', 'Athletic', 'chevron_right', '12 sports programs over 4 seasons.', 'Career and Technical Education (CTE)', 'chevron_right', 'Clothing, yearbook, computers and wooworking', 'Community/Civic', 'chevron_right', 'Builders Club and Service Learning', 'Tutoring and Mentoring', 'chevron_right', 'After School tutoring']","['Art Room', 'Auditorium', 'Book Store', 'Cafeteria (Onsite food service)', 'Certified Nurse (LNP/RN)', 'Dedicated Counselors', 'chevron_right', '2.5', 'Early Education Activity/Sensory Room', 'Enhanced Security', 'Garden', 'Gymnasium', 'Indoor air quality control', 'Library', 'Music Hall', 'Natural Lighting in 50% areas', 'School Resource Officer (SRO)', 'Science Lab', 'Sports Facilities', 'chevron_right', 'Gymnasium, Soccer Field, Baseball Field, Softball Field, Wrestling Room, Tennis Courts and Football Field', 'Technology Lab', 'Transportation']","['Dedicated School Counselor', 'chevron_right', '3', 'Parent/Family education and support', 'Family liaison', 'Partner Mental Health Agencies', 'List', 'chevron_right', 'Valle del Sol']",0,0,0,0,0
Sonoran Science Academy - Phoenix,Phoenix,85008,1,1,1,1,4,1,380,214,56.32,94,24.74,10,10.0,28,7.37,10,10.0,34,8.95,10,10.0,10.25,10.0,0.73,15.1,100.0,0.0,209.0,0.0,0.0, 1537.13, 549.34, 3281.10, 7664.34, 13031.90,"['National Science Teaching Association Shell Lab Challenge 4th Place (2020-21)', 'FTC Robotics - Control Award for Innovation in Programming; 2nd place team (2019)', 'College Board AP Computer Science Female Diversity Award (2020)', 'AIA Soccer - 2nd Place Varsity Team (2020)', 'FTC Robotics - 1st place - programming documentation (2018)', 'Renaissance Festival Creative Writing Essay - 3rd Place (2018)', 'First Lego league Robotics - 2nd Place (2017)', 'Canyon Athletic Assn Boys Varsity Soccer Division I championship (2016)', 'Future City Competition - Most Sustainable City Award & Best Essay Award (2015)', 'International Genius Olympiad World Finalist in Art, Satirical Illustration (2014)']","['Advanced Placement (AP)', 'AVID (Advancement Via Individual Determination)', 'Coding', 'Dual enrollment', 'Foreign Language', 'Full-day Kindergarten', 'Honors (Independent of IB/AP/Dual Enrollment)', 'Online courses', 'The school offers STEM Education and College preparation classes to increase students learning. AP Computer Science will be offered in 9th and 10th grade effective with the 19-20 SY and there will be more AP courses offered moving forward. Students in grades 6-12 will have one on one technology next year and students in K-5 will move to 1 to 1 technology for the 20-21 SY.']","['Basketball', 'Soccer', 'Track and Field', 'The school is in a charter league for sports and plans to add a volleyball option next year.']","['Art', 'Dance', 'Music', 'Painting', 'Photography', 'Students from Kinder to 12th grade all have the opportunity to take music and art classes. Students demonstrate their achievements during Art Night twice a year.']","['Arts', 'chevron_right', 'Art', 'chevron_right', 'Dance', 'chevron_right', 'Music', 'chevron_right', 'Painting', 'chevron_right', 'Photography', 'chevron_right', 'Yearbook Club', 'Athletic', 'chevron_right', 'Basketball', 'chevron_right', 'Soccer', 'chevron_right', 'Track and Field', 'chevron_right', 'Volleyball', 'Community/Civic', 'chevron_right', 'STEM Council', 'chevron_right', 'Chief Science Officer Program', 'chevron_right', 'Sonoran Schools Mentorship Program', 'chevron_right', 'National Honor Society', 'Speech and Debate', 'chevron_right', 'Speech and Debate  Club', 'Tutoring and Mentoring', 'chevron_right', 'Free tutoring available to all students', 'Others', 'chevron_right', 'Future City', 'chevron_right', 'Vex Robotics', 'chevron_right', 'Cybersecurity Club']","['Art Room', 'Book Store', 'Cafeteria (Onsite food service)', 'Dedicated Counselors', 'chevron_right', '1', 'Enhanced Security', 'Indoor air quality control', 'Kindergarten Playground', 'Library', 'Transportation', 'The high school has a dedicated Robotics room and a STEM lab with 3D printers.']",['No data available'],0,0,0,0,0
